Name,First Kills,MatchTeams,Date
QutionerX,19,BBL VS TH,April 18th 2024
Jremy,17,TS VS RRQ,April 8th 2024
MiniBoo,17,VIT VS TH,April 10th 2024
Keiko,16,TL VS GX,April 19th 2024
Sayaplayer,16,T1 VS DFM,April 9th 2024
Governor,16,GE VS TLN,April 15th 2024
yay,15,BLD VS TLN,April 7th 2024
OXY,15,C9 VS LEV,April 6th 2024
OXY,15,C9 VS EG,April 15th 2024
something,14,GEN VS PRX,April 13th 2024
Derke,14,FNC VS KOI,April 19th 2024
yay,14,BLD VS ZETA,April 16th 2024
Polvi,14,GE VS TLN,April 15th 2024
keznit,14,KRU VS FUR,April 8th 2024
marteen,14,KC VS FUT,April 10th 2024
aspas,13,SEN VS LEV,April 13th 2024
Governor,13,BLD VS TLN,April 7th 2024
Laz,13,BLD VS ZETA,April 16th 2024
Zyppan,12,KC VS NAVI,April 17th 2024
Demon1,12,NRG VS LOUD,April 6th 2024
tex,12,C9 VS LEV,April 6th 2024
jawgemo,12,C9 VS EG,April 15th 2024
Asuna,12,G2 VS 100T,April 13th 2024
purp0,11,TL VS GX,April 19th 2024
cNed,11,VIT VS FUT,April 18th 2024
Klaus,11,KRU VS FUR,April 8th 2024
BuZz,11,GE VS DRX,April 8th 2024
Polvi,11,GE VS ZETA,April 6th 2024
runneR,11,VIT VS TH,April 10th 2024
Zyppan,11,TL VS NAVI,April 11th 2024
marteen,11,KC VS NAVI,April 17th 2024
Sayaplayer,11,T1 VS RRQ,April 16th 2024
Meiy,11,T1 VS DFM,April 9th 2024
Jremy,11,TS VS ZETA,April 14th 2024
MiniBoo,11,FNC VS TH,April 4th 2024
purp0,11,FNC VS GX,April 12th 2024
Dep,10,BLD VS ZETA,April 16th 2024
Dep,10,TS VS ZETA,April 14th 2024
ban,10,GE VS TLN,April 15th 2024
TakaS,10,BBL VS M8,April 5th 2024
Fit1nho,10,FNC VS GX,April 12th 2024
Enzo,10,TL VS NAVI,April 11th 2024
iZu,10,T1 VS DFM,April 9th 2024
NDG,10,TS VS ZETA,April 14th 2024
Meiy,10,GEN VS DFM,April 15th 2024
BuZz,10,TS VS DRX,April 6th 2024
MaKo,10,T1 VS DRX,April 13th 2024
C0M,9,C9 VS LEV,April 6th 2024
Cryocells,9,SEN VS 100T,April 7th 2024
Elite,9,BBL VS M8,April 5th 2024
Jremy,9,TS VS DRX,April 6th 2024
aspas,9,C9 VS LEV,April 6th 2024
Meteor,9,GEN VS PRX,April 13th 2024
yetujey,9,KC VS FUT,April 10th 2024
runneR,9,VIT VS FUT,April 18th 2024
purp0,9,KC VS GX,April 3rd 2024
Demon1,9,NRG VS FUR,April 14th 2024
mwzera,9,KRU VS FUR,April 8th 2024
Sayf,9,VIT VS TH,April 10th 2024
Laz,9,GE VS ZETA,April 6th 2024
cNed,9,KC VS FUT,April 10th 2024
trexx,9,VIT VS FUT,April 18th 2024
t3xture,9,GEN VS DFM,April 15th 2024
Redgar,9,TL VS GX,April 19th 2024
Keiko,9,TL VS NAVI,April 11th 2024
BuZz,9,T1 VS DRX,April 13th 2024
MrFaliN,8,VIT VS FUT,April 18th 2024
Jemkin,8,TS VS RRQ,April 8th 2024
ban,8,BLD VS TLN,April 7th 2024
AtaKaptan,8,TL VS FUT,April 5th 2024
d4v41,8,GEN VS PRX,April 13th 2024
runneR,8,VIT VS NAVI,April 4th 2024
pAura,8,BBL VS KOI,April 11th 2024
BORKUM,8,TS VS RRQ,April 8th 2024
kiNgg,8,C9 VS LEV,April 6th 2024
iZu,8,T1 VS DRX,April 13th 2024
hoody,8,TL VS GX,April 19th 2024
hiroronn,8,GE VS ZETA,April 6th 2024
f0rsakeN,8,T1 VS PRX,April 7th 2024
t3xture,8,GEN VS PRX,April 13th 2024
something,8,T1 VS PRX,April 7th 2024
t3xture,8,GEN VS TLN,April 9th 2024
Chronicle,8,M8 VS FNC,April 17th 2024
ceNder,8,VIT VS FUT,April 18th 2024
blaZek1ng,8,GE VS TLN,April 15th 2024
ban,8,GEN VS TLN,April 9th 2024
Derke,8,FNC VS TH,April 4th 2024
zekken,8,SEN VS 100T,April 7th 2024
Melser,7,KRU VS MIBR,April 14th 2024
Laz,7,TS VS ZETA,April 14th 2024
Lmemore,7,T1 VS RRQ,April 16th 2024
supamen,7,C9 VS EG,April 15th 2024
Medusa,7,T1 VS DFM,April 9th 2024
stax,7,T1 VS DRX,April 13th 2024
tomaszy,7,KC VS GX,April 3rd 2024
yuran,7,BLD VS ZETA,April 16th 2024
Zyppan,7,VIT VS NAVI,April 4th 2024
jzz,7,KRU VS MIBR,April 14th 2024
Meteor,7,GEN VS DFM,April 15th 2024
nAts,7,KOI VS TL,April 3rd 2024
keznit,7,KRU VS MIBR,April 14th 2024
Xeppaa,7,C9 VS LEV,April 6th 2024
N4RRATE,7,KC VS M8,April 12th 2024
N4RRATE,7,KC VS NAVI,April 17th 2024
invy,7,TS VS RRQ,April 8th 2024
fl1pzjder,7,TS VS RRQ,April 8th 2024
f0rsakeN,7,GEN VS PRX,April 13th 2024
RieNs,7,VIT VS TH,April 10th 2024
artzin,7,KRU VS MIBR,April 14th 2024
TenZ,7,SEN VS LEV,April 13th 2024
Victor,7,NRG VS FUR,April 14th 2024
ANGE1,7,KC VS NAVI,April 17th 2024
Sayaplayer,7,T1 VS DRX,April 13th 2024
zekken,7,SEN VS LEV,April 13th 2024
Derke,7,M8 VS FNC,April 17th 2024
AtaKaptan,7,KC VS FUT,April 10th 2024
Apoth,7,C9 VS EG,April 15th 2024
Boo,7,VIT VS TH,April 10th 2024
Dep,7,GE VS ZETA,April 6th 2024
BORKUM,7,TS VS ZETA,April 14th 2024
ANGE1,7,VIT VS NAVI,April 4th 2024
valyn,6,G2 VS 100T,April 13th 2024
Russ,6,GE VS ZETA,April 6th 2024
trexx,6,VIT VS TH,April 10th 2024
ardiis,6,TL VS NAVI,April 11th 2024
Zellsis,6,SEN VS LEV,April 13th 2024
Shao,6,KC VS NAVI,April 17th 2024
xffero,6,BLD VS RRQ,April 14th 2024
xffero,6,TS VS RRQ,April 8th 2024
Sayf,6,VIT VS FUT,April 18th 2024
Quick,6,NRG VS LOUD,April 6th 2024
Chronicle,6,FNC VS TH,April 4th 2024
NDG,6,TS VS DRX,April 6th 2024
Foxy9,6,T1 VS DRX,April 13th 2024
yetujey,6,VIT VS FUT,April 18th 2024
Munchkin,6,GEN VS TLN,April 9th 2024
MrFaliN,6,KC VS FUT,April 10th 2024
Mistic,6,TL VS NAVI,April 11th 2024
Cloud,6,TL VS GX,April 19th 2024
Chronicle,6,FNC VS GX,April 12th 2024
Jemkin,6,BLD VS RRQ,April 14th 2024
grubinho,6,KOI VS TL,April 3rd 2024
Benkai,6,GE VS DRX,April 8th 2024
qRaxs,6,KC VS FUT,April 10th 2024
pAura,6,BBL VS M8,April 5th 2024
nataNk,6,KC VS M8,April 12th 2024
marteen,6,KC VS GX,April 3rd 2024
Boo,6,FNC VS TH,April 4th 2024
Keiko,6,KOI VS TL,April 3rd 2024
kiNgg,6,SEN VS LEV,April 13th 2024
Keiko,6,TL VS FUT,April 5th 2024
tomaszy,6,KC VS FUT,April 10th 2024
icy,6,G2 VS EG,April 7th 2024
icy,6,G2 VS 100T,April 13th 2024
iZu,6,T1 VS PRX,April 7th 2024
havoc,6,NRG VS FUR,April 14th 2024
havoc,6,KRU VS FUR,April 8th 2024
MiniBoo,6,BBL VS TH,April 18th 2024
valyn,6,G2 VS EG,April 7th 2024
Jinggg,6,GEN VS PRX,April 13th 2024
Alfajer,6,FNC VS GX,April 12th 2024
Jinggg,6,T1 VS PRX,April 7th 2024
JitBoyS,6,BLD VS TLN,April 7th 2024
Xeppaa,5,C9 VS EG,April 15th 2024
bang,5,G2 VS 100T,April 13th 2024
Derke,5,FNC VS GX,April 12th 2024
ardiis,5,VIT VS NAVI,April 4th 2024
ardiis,5,KC VS NAVI,April 17th 2024
starxo,5,BBL VS KOI,April 11th 2024
Melser,5,KRU VS FUR,April 8th 2024
benjyfishy,5,VIT VS TH,April 10th 2024
TakaS,5,KC VS M8,April 12th 2024
xccurate,5,T1 VS DFM,April 9th 2024
yay,5,BLD VS RRQ,April 14th 2024
Sacy,5,SEN VS LEV,April 13th 2024
SUYGETSU,5,TL VS NAVI,April 11th 2024
Russ,5,GE VS DRX,April 8th 2024
Rossy,5,T1 VS DFM,April 9th 2024
Deryeon,5,BLD VS ZETA,April 16th 2024
blaZek1ng,5,GE VS ZETA,April 6th 2024
Jemkin,5,T1 VS RRQ,April 16th 2024
Retla,5,BLD VS TLN,April 7th 2024
Lmemore,5,BLD VS RRQ,April 14th 2024
Cloud,5,FNC VS GX,April 12th 2024
d4v41,5,T1 VS PRX,April 7th 2024
heat,5,KRU VS FUR,April 8th 2024
jawgemo,5,G2 VS EG,April 7th 2024
kamo,5,KOI VS TL,April 3rd 2024
JitBoyS,5,GE VS TLN,April 15th 2024
kon4n,5,KRU VS FUR,April 8th 2024
Boaster,5,M8 VS FNC,April 17th 2024
nAts,5,TL VS GX,April 19th 2024
nAts,5,TL VS NAVI,April 11th 2024
nataNk,5,BBL VS M8,April 5th 2024
runi,5,C9 VS EG,April 15th 2024
RieNs,5,FNC VS TH,April 4th 2024
Karon,5,GEN VS PRX,April 13th 2024
Fit1nho,5,TL VS GX,April 19th 2024
Governor,5,GEN VS TLN,April 9th 2024
Mazino,5,SEN VS LEV,April 13th 2024
Jamppi,5,TL VS GX,April 19th 2024
Jamppi,5,KOI VS TL,April 3rd 2024
Polvi,5,GE VS DRX,April 8th 2024
Estrella,5,TS VS RRQ,April 8th 2024
JessieVash,5,TS VS DRX,April 6th 2024
Fit1nho,5,KC VS GX,April 3rd 2024
Jamppi,5,TL VS NAVI,April 11th 2024
yetujey,5,TL VS FUT,April 5th 2024
Munchkin,5,GEN VS PRX,April 13th 2024
Mistic,4,KOI VS TL,April 3rd 2024
Lmemore,4,TS VS RRQ,April 8th 2024
JonahP,4,G2 VS EG,April 7th 2024
kon4n,4,NRG VS FUR,April 14th 2024
leaf,4,G2 VS EG,April 7th 2024
Lakia,4,GEN VS DFM,April 15th 2024
Lakia,4,GEN VS TLN,April 9th 2024
logaN,4,KC VS M8,April 12th 2024
Mistic,4,TL VS GX,April 19th 2024
Zest,4,BLD VS ZETA,April 16th 2024
marteen,4,KC VS M8,April 12th 2024
mindfreak,4,GEN VS PRX,April 13th 2024
MAGNUM,4,KC VS FUT,April 10th 2024
moose,4,C9 VS LEV,April 6th 2024
Deryeon,4,BLD VS TLN,April 7th 2024
Marved,4,NRG VS LOUD,April 6th 2024
vanity,4,C9 VS EG,April 15th 2024
Foxy9,4,TS VS DRX,April 6th 2024
kamo,4,FNC VS KOI,April 19th 2024
grubinho,4,BBL VS KOI,April 11th 2024
Carpe,4,T1 VS PRX,April 7th 2024
hiroronn,4,TS VS ZETA,April 14th 2024
hoody,4,FNC VS GX,April 12th 2024
Lightningfast,4,GE VS TLN,April 15th 2024
Chronicle,4,FNC VS KOI,April 19th 2024
Carpe,4,T1 VS DRX,April 13th 2024
C0M,4,SEN VS LEV,April 13th 2024
Munchkin,4,GEN VS DFM,April 15th 2024
Lightningfast,4,GE VS ZETA,April 6th 2024
Leo,4,FNC VS TH,April 4th 2024
iZu,4,T1 VS RRQ,April 16th 2024
ceNder,4,VIT VS TH,April 10th 2024
MrFaliN,4,TL VS FUT,April 5th 2024
Brave,4,BBL VS TH,April 18th 2024
Brave,4,BBL VS M8,April 5th 2024
cNed,4,TL VS FUT,April 5th 2024
trent,4,G2 VS EG,April 7th 2024
Brave,4,BBL VS KOI,April 11th 2024
kamo,4,BBL VS KOI,April 11th 2024
Lightningfast,4,GE VS DRX,April 8th 2024
Jamppi,4,TL VS FUT,April 5th 2024
Shao,4,TL VS NAVI,April 11th 2024
Sacy,4,SEN VS 100T,April 7th 2024
BeYN,4,T1 VS DRX,April 13th 2024
Enzo,4,TL VS GX,April 19th 2024
SUYGETSU,4,KC VS NAVI,April 17th 2024
ANGE1,4,TL VS NAVI,April 11th 2024
Sayaplayer,4,T1 VS PRX,April 7th 2024
Boaster,4,FNC VS TH,April 4th 2024
saadhak,4,NRG VS LOUD,April 6th 2024
sh1n,4,KC VS M8,April 12th 2024
ShadoW,4,FNC VS KOI,April 19th 2024
Rossy,4,T1 VS RRQ,April 16th 2024
Rossy,4,T1 VS PRX,April 7th 2024
starxo,4,KOI VS TL,April 3rd 2024
sScary,4,BLD VS TLN,April 7th 2024
paTiTek,4,BBL VS TH,April 18th 2024
pAura,4,BBL VS TH,April 18th 2024
Asuna,4,SEN VS 100T,April 7th 2024
TenZ,4,SEN VS 100T,April 7th 2024
Meteor,4,GEN VS TLN,April 9th 2024
vanity,4,C9 VS LEV,April 6th 2024
Retla,4,BLD VS ZETA,April 16th 2024
sScary,4,BLD VS RRQ,April 14th 2024
Redgar,4,FNC VS GX,April 12th 2024
JitBoyS,4,GEN VS TLN,April 9th 2024
yuran,4,TS VS ZETA,April 14th 2024
sh1n,3,KC VS FUT,April 10th 2024
sheydos,3,KOI VS TL,April 3rd 2024
sheydos,3,FNC VS KOI,April 19th 2024
sScary,3,BLD VS ZETA,April 16th 2024
sh1n,3,KC VS NAVI,April 17th 2024
hoody,3,KC VS GX,April 3rd 2024
heat,3,KRU VS MIBR,April 14th 2024
starxo,3,FNC VS KOI,April 19th 2024
runi,3,C9 VS LEV,April 6th 2024
JessieVash,3,TS VS RRQ,April 8th 2024
leaf,3,G2 VS 100T,April 13th 2024
nAts,3,TL VS FUT,April 5th 2024
nataNk,3,M8 VS FNC,April 17th 2024
neth,3,T1 VS DFM,April 9th 2024
yuran,3,GE VS ZETA,April 6th 2024
nzr,3,KRU VS FUR,April 8th 2024
Boaster,3,FNC VS KOI,April 19th 2024
paTiTek,3,FNC VS TH,April 4th 2024
johnqt,3,SEN VS LEV,April 13th 2024
